D/B,X/D,Y/D,unit wt,c,friction angle,poissons ratio,E,BC
2.392,1.246,0.2,13.78,158.7,8,0.39,19872,16.418
2.392,1.246,2.0,13.78,288.0,8,0.39,19872,128.614
2.392,-1.2,2.0,13.78,158.7,8,0.39,19872,64.194
2.392,1.246,2.0,13.78,158.7,8,0.39,30000,70.847
2.392,1.246,2.0,13.78,158.7,1,0.39,19872,54.885
1.1,1.246,2.0,13.78,158.7,8,0.39,19872,82.992
2.392,1.246,2.0,13.78,158.7,8,0.2,19872,70.847
2.392,-2.3,2.0,13.78,158.7,8,0.39,19872,90.439
2.392,1.246,2.0,13.78,216.0,8,0.39,19872,96.45
2.392,-1.0,2.0,13.78,158.7,8,0.39,19872,54.787
2.392,1.246,2.0,13.78,158.7,8,0.18,19872,70.85566667
2.392,1.246,2.0,13.78,158.7,18,0.39,19872,100.958
2.392,2.9,2.0,13.78,158.7,8,0.39,19872,90.459
2.392,1.9,2.0,13.78,158.7,8,0.39,19872,84.002
0.0,1.246,2.0,13.78,158.7,8,0.39,19872,91.336
2.392,0.2,2.0,13.78,158.7,8,0.39,19872,27.625
0.8,1.246,2.0,13.78,158.7,8,0.39,19872,88.228
2.392,1.246,2.0,16.25,158.7,8,0.39,19872,70.816
2.392,1.246,2.0,13.78,158.7,8,0.3,19872,70.845
1.4,1.246,2.0,13.78,158.7,8,0.39,19872,76.889
0.4,1.246,2.0,13.78,158.7,8,0.39,19872,91.093
2.392,1.246,2.0,13.78,156.0,8,0.39,19872,69.64
2.392,1.246,2.0,13.78,158.7,7,0.39,19872,79.641
2.392,1.246,2.0,13.78,120.0,8,0.39,19872,53.554
2.6,1.246,2.0,13.78,158.7,8,0.39,19872,63.533
2.392,1.246,2.0,13.78,158.7,16,0.39,19872,100.947
1.6,1.246,2.0,13.78,158.7,8,0.39,19872,76.097
2.392,1.246,2.0,13.78,158.7,8,0.17,19872,70.848
2.392,1.7,2.0,13.78,158.7,8,0.39,19872,80.174
2.392,1.246,2.0,13.78,158.7,15,0.39,19872,99.004
2.392,1.246,2.0,13.78,158.7,8,0.37,19872,70.846
2.392,1.246,2.0,13.78,168.0,8,0.39,19872,75.002
2.392,1.246,2.0,20.0,158.7,8,0.39,19872,70.774
2.392,1.246,2.0,13.78,348.0,8,0.39,19872,155.427
2.5,1.246,2.0,13.78,158.7,8,0.39,19872,65.823
2.392,1.246,1.5,13.78,158.7,8,0.39,19872,76.053
2.392,1.246,2.0,21.0,158.7,8,0.39,19872,70.761
2.392,2.0,2.0,13.78,158.7,8,0.39,19872,85.593
2.392,1.246,2.0,13.78,158.7,8,0.39,81000,70.846
2.392,0.8,2.0,13.78,158.7,8,0.39,19872,45.247
2.392,1.246,2.0,13.78,158.7,8,0.39,84000,70.847
1.9,1.246,2.0,13.78,158.7,8,0.39,19872,70.946
2.392,-2.7,2.0,13.78,158.7,8,0.39,19872,91.114
2.392,1.246,0.9,13.78,158.7,8,0.39,19872,48.143
2.392,-1.9,2.0,13.78,158.7,8,0.39,19872,84.002
2.392,1.246,2.0,17.75,158.7,8,0.39,19872,70.799
2.392,1.246,2.2,13.78,158.7,8,0.39,19872,90.792
2.392,1.246,2.0,16.5,158.7,8,0.39,19872,70.831
2.392,-2.0,2.0,13.78,158.7,8,0.39,19872,85.593
2.392,1.246,2.0,14.75,158.7,8,0.39,19872,70.835
2.392,1.246,2.0,13.78,312.0,8,0.39,19872,139.338
2.392,1.246,2.0,13.75,158.7,8,0.39,19872,70.847
2.392,-2.4,2.0,13.78,158.7,8,0.39,19872,90.992
2.392,1.246,2.0,13.78,158.7,5,0.39,19872,75.041
2.392,1.246,2.0,13.78,158.7,8,0.39,9000,70.847
2.392,1.246,3.0,13.78,158.7,8,0.39,19872,90.309
2.392,1.246,2.0,13.78,252.0,8,0.39,19872,112.539
2.392,2.6,2.0,13.78,158.7,8,0.39,19872,90.198
2.392,1.246,2.5,13.78,158.7,8,0.39,19872,90.698
0.3,1.246,2.0,13.78,158.7,8,0.39,19872,93.824
2.9,1.246,2.0,13.78,158.7,8,0.39,19872,58.96
2.392,1.246,2.0,13.78,158.7,8,0.25,19872,70.851
2.392,0.6,2.0,13.78,158.7,8,0.39,19872,37.269
0.2,1.246,2.0,13.78,158.7,8,0.39,19872,94.055
2.392,2.7,2.0,13.78,158.7,8,0.39,19872,91.114
2.392,1.246,0.5,13.78,158.7,8,0.39,19872,29.651
2.392,1.246,2.0,13.78,300.0,8,0.39,19872,133.976
2.392,1.246,2.0,15.75,158.7,8,0.39,19872,70.823
2.392,1.246,2.0,13.78,144.0,8,0.39,19872,64.278
2.392,-2.9,2.0,13.78,158.7,8,0.39,19872,90.459
0.6,1.246,2.0,13.78,158.7,8,0.39,19872,90.941
2.392,1.246,2.0,13.5,158.7,8,0.39,19872,70.85
